"characterID";"name"
1009416;"Magma (Amara Aquilla)"
1009417;"Magneto"
1009418;"Ma Gnuci"
1009420;"Man-Thing"
1009421;"Mandarin"
1009422;"Mandroid"
1009423;"Manta"
1009424;"Marauders"
1009425;"Marrow"
1009427;"Marvel Boy"
1009430;"Rachel Grey"
1009433;"Master Mold"
1009434;"Mastermind"
1009435;"Alicia Masters"
1009436;"Mauler"
1009437;"Maverick (Christoph Nord)"
1009438;"Medusa"
1009439;"Meltdown"
1009440;"Mephisto"
1009442;"Mesmero"
1009445;"Mimic"
1009446;"Mister Fear"
1009447;"Mister Sinister"
1009448;"Mojo"
1009449;"Mole Man"
1009451;"Moondragon"
1009452;"Moon Knight"
1009453;"Dani Moonstar"
1009454;"Morbius"
1009455;"Morg"
1009456;"Morph"
1009457;"Mother Askani"
1009459;"Mr. Fantastic"
1009460;"Mr. Fixit"
1009462;"Mr. X"
1009463;"Matthew Murdock"
1009464;"Mysterio"
1009465;"Mystique"
1009466;"Namor"
1009468;"Namora"
1009469;"Namorita"
1009470;"Foggy Nelson"
1009471;"Nick Fury"
1009472;"Nightcrawler"
1009473;"Nightmare"
1009474;"Nocturne"
1009475;"Nomad"
1009476;"Northstar"
1009477;"Nova"
1009478;"Cassandra Nova"
1009480;"Odin"
1009481;"Ogun"
1009482;"Omega Red"
1009483;"Onslaught"
1009484;"Oracle"
1009485;"Orphan"
1009486;"Harry Osborn"
1009487;"Iron Patriot"
1009488;"Ozymandias"
1009489;"Ben Parker"
1009490;"May Parker"
1009491;"Peter Parker"
1009492;"Patriot"
1009493;"Penance (Robert Baldwin)"
1009494;"Pepper Potts"
1009495;"Pestilence"
1009496;"Jean Grey"
1009497;"Alexander Pierce"
1009498;"Plazm"
1009499;"Polaris"
1009501;"Post"
1009502;"Pretty Boy"
1009503;"Prism"
1009504;"Professor X"
1009505;"Proteus"
1009506;"Proudstar"
1009507;"Prowler"
1009508;"Kitty Pryde"
1009509;"Madelyne Pryor"
1009510;"PsyNapse"
1009511;"Psycho-Man"
1009512;"Psylocke"
1009513;"Puck"
1009514;"Puma"
1009515;"Punisher"
1009517;"Punisher (2099)"
1009519;"Puppet Master"
1009520;"Purple Man"
1009522;"Pyro"
1009523;"Quasar (Phyla-Vell)"
1009524;"Quicksilver"
1009525;"Valeria Richards"
1009526;"Radioactive Man"
1009528;"Randall"
1009529;"Ilyana Rasputin"
1009530;"Mikhail Rasputin"
1009531;"Raza"
1009532;"Reaper"
1009533;"Reavers"
1009534;"Red Ghost"
1009535;"Red Skull"
1009536;"Cecilia Reyes"
1009537;"Rhino"
1009538;"Iron Patriot (James Rhodes)"
1009539;"Franklin Richards"
1009541;"Molly Von Richtofen"
1009542;"Rictor"
1009543;"Riptide"
1009544;"Risque"
1009545;"Robbie Robertson"
1009546;"Rogue"
1009547;"Natasha Romanoff"
1009548;"Betty Ross"
1009549;"Roulette"
1009552;"S.H.I.E.L.D."
1009553;"Sabra"
1009554;"Sabretooth"
1009555;"Sage"
1009558;"Sandman"
1009560;"Sasquatch (Walter Langkowski)"
1009561;"Sauron"
1009562;"Scarlet Witch"
1009565;"Scourge"
1009566;"Scream (Donna Diego)"
1009568;"Selene"
1009569;"Senator Kelly"
1009570;"Sentinel"
1009571;"Sentry (Robert Reynolds)"
1009572;"Serpent Society"
1009573;"Shadow King"
1009574;"Shadowcat"
1009575;"Shalla-bal"
1009576;"Shaman"
1009577;"Shang-Chi"
1009578;"Shanna the She-Devil"
1009579;"Shard"
1009580;"Shatterstar"
1009581;"Sebastian Shaw"
1009582;"Shinobi Shaw"
1009583;"She-Hulk (Jennifer Walters)"
1009584;"Shiva"
1009585;"Shocker (Herman Schultz)"
1009586;"Shotgun"
1009587;"Shriek"
1009588;"Sif"
1009589;"Silver Fox"
1009590;"Silver Sable"
1009591;"Silver Samurai"
1009592;"Silver Surfer"
1009594;"Silvermane"
1009596;"Banshee (Theresa Rourke)"
1009597;"Jasper Sitwell"
1009598;"Skin"
1009599;"Skrulls"
1009600;"Skullbuster (Cylla Markham)"
1009601;"Sleeper"
1009602;"Slipstream"
1009603;"Smasher (Vril Rokk)"
1009605;"Spencer Smythe"
1009606;"Snowbird"
1009608;"Spider-Woman (Jessica Drew)"
1009609;"Spider-Girl (May Parker)"
1009610;"Spider-Man"
1009614;"Spiral (Rita Wayword)"
1009616;"Spot"
1009618;"Stacy X"
1009619;"Gwen Stacy"
1009620;"Obadiah Stane"
1009621;"Starbolt"
1009623;"Morgan Stark"
1009624;"Tony Stark"
1009625;"Stepford Cuckoos"
1009626;"Stick"
1009627;"Stilt-Man (Wibur Day)"
1009628;"Stingray (Walter Newell)"
1009629;"Storm"
1009630;"Johnny Storm"
1009631;"Sue Storm"
1009632;"Stryfe"
1009633;"William Stryker"
1009635;"Sumo"
1009636;"Sunfire"
1009637;"Sunset Bain"
1009638;"Sunspot"
1009639;"Super-Skrull"
1009640;"Switch"
1009641;"Swordsman"
1009642;"Sym"
1009643;"Synch"
1009644;"T'Challa"
1009645;"Glenn Talbot"
1009646;"Talisman (Elizabeth Twoyoungmen)"
1009647;"Tarot"
1009648;"Taskmaster"
1009650;"Tempest"
1009651;"Terrax"
1009652;"Thanos"
1009653;"The Anarchist"
1009657;"The Professor"
1009660;"The Stranger"
1009661;"The Watchers"
1009662;"Thing"
1009663;"Venom (Flash Thompson)"
1009664;"Thor"
1009666;"Thunderbird (John Proudstar)"
1009667;"Thunderbird (Neal Shaara)"
1009668;"Thunderbolt (Bill Carver)"
1009669;"Tiger Shark"
1009670;"Tigra (Greer Nelson)"
1009672;"Titanium Man (Topolov)"
1009673;"Toad"
1009674;"Toad Men"
1009675;"Tombstone"
1009676;"Toxin"
1009678;"Tusk"
1009679;"Tyger Tiger"
1009680;"Tyrannus"
1009681;"U-Go Girl"
1009682;"U.S. Agent"
1009683;"Uatu The Watcher"
1009684;"Ultimatum"
1009685;"Ultron"
1009686;"Umar"
1009687;"Unus"
1009688;"Carmella Unuscione"
1009689;"Vanisher (Ultimate)"
1009690;"Vargas"
1009691;"Vengeance (Michael Badilino)"
1009692;"Toxin (Eddie Brock)"
1009693;"Venus Dee Milo"
1009694;"Vertigo (Savage Land Mutate)"
1009695;"Vindicator"
1009696;"Viper"
1009697;"Vision"
1009698;"Vivisector"
1009699;"Vulture (Adrian Toomes)"
1009701;"War (Abraham Kieros)"
1009702;"Rhodey"
1009703;"Warbird"
1009705;"Warpath"
1009706;"Warstar"
1009707;"Wasp"
1009708;"Mary Jane Watson"
1009709;"Weapon X"
1009710;"Wendigo"
1009711;"Whiplash (Mark Scarlotti)"
1009714;"Wiccan"
1009715;"Wild Child"
1009716;"Wildside"
1009717;"Wolfsbane"
1009718;"Wolverine"
1009719;"Wonder Man"
1009720;"Wong"
1009721;"John Wraith"
1009722;"X-23"
1009723;"X-Cutioner"
1009724;"X-Force"
1009725;"X-Man"
1009726;"X-Men"
1009733;"Charles Xavier"
1009734;"Xorn (Kuan-Yin Xorn)"
1009735;"Mariko Yashida"
1009736;"Yellow Claw"
1009738;"Zaladane"
1009740;"Arnim Zola"
1009741;"Zombie (Simon Garth)"
1009742;"Zzzax"
1010143;"Caretaker"
1010324;"Victor Von Doom"
1010325;"Betty Brant"
1010326;"Steve Rogers"
1010328;"Tomorrow Man"
1010329;"Jane Foster"
1010330;"Donald Blake"
1010331;"Monster Badoon"
1010334;"Quasimodo"
1010335;"Triton"
1010336;"Atlas (Team)"
1010338;"Captain Marvel (Carol Danvers)"
1010343;"Human Cannonball"
1010344;"Ronan"
1010345;"Sersi"
1010346;"Controller"
1010347;"Mr. Hyde"
1010348;"Whirlwind"
1010349;"Nighthawk"
1010350;"Valkyrie (Samantha Parrington)"
1010351;"Hellcat (Patsy Walker)"
1010352;"Madame Masque"
1010353;"Vermin (Edward Whelan)"
1010354;"Adam Warlock"
1010355;"Elements of Doom"
1010356;"Black Queen"
1010357;"Patch"
1010358;"Ulik"
1010359;"The Hand"
1010360;"Thunderbolts"
1010361;"Meteorite"
1010362;"Moonstone"
1010363;"Logan"
1010365;"Nebula"
1010366;"Boom Boom"
1010367;"Masque"
1010368;"Dreadnoughts"
1010369;"Typhoid Mary"
1010370;"Alpha Flight"
1010371;"Boomerang"
1010372;"Warhawk (Mitchell Tanner)"
1010373;"Howard The Duck"
1010445;"Energizer"
1010450;"Lightspeed"
1010667;"Jessica Drew"
1010668;"Warren Worthington III"
1010669;"Titania"
1010670;"Frog-Man"
1010671;"Enchantress (Amora)"
1010672;"Amora"
1010673;"Amphibian (Earth-712)"
1010675;"Humbug"
1010676;"Colleen Wing"
1010677;"Dracula"
1010678;"Hellion"
1010679;"Julian Keller"
1010681;"Mercury"
1010682;"Misty Knight"
1010683;"New Warriors"
1010684;"Night Thrasher"
1010685;"Nextwave"
1010686;"Arcana"
1010687;"Black Tarantula"
1010688;"Blur"
1010689;"Doctor Spectrum"
1010690;"Microbe"
1010691;"Molly Hayes"
1010692;"Rockslide"
1010693;"Songbird"
1010694;"Speedball (Robert Baldwin)"
1010695;"Surge"
1010696;"Union Jack (Joseph Chapman)"
1010697;"Virginia Dare"
1010698;"Young Avengers"
1010699;"Aaron Stack"
1010701;"Elsa Bloodstone"
1010702;"Gravity"
1010703;"Hiroim"
1010704;"Iron Lad"
1010705;"Spectrum"
1010707;"Nuke"
1010708;"Pandemic"
1010711;"Santa Claus"
1010712;"Shape"
1010713;"Tarantula (Luis Alvarez)"
1010715;"The Hood"
1010716;"Zarda"
1010717;"Debrii"
1010719;"Daimon Hellstrom"
1010722;"Human Robot"
1010724;"Maddog"
1010725;"Makkari"
1010726;"M.O.D.O.K."
1010731;"Gorilla Man"
1010732;"Master Chief"
1010733;"Star-Lord (Peter Quill)"
1010734;"Peter Quill"
1010735;"Drax"
1010737;"Wraith"
1010738;"X-Factor"
1010739;"X-Factor Investigations"
1010740;"Winter Soldier"
1010741;"Phyla-Vell"
1010743;"Groot"
1010744;"Rocket Raccoon"
1010745;"Sister Grimm"
1010746;"Nico Minoru"
1010747;"Runaways"
1010749;"Gertrude Yorkes"
1010752;"Karolina Dean "
1010753;"Talkback (Chase Stein)"
1010754;"Chase Stein"
1010755;"Alex Wilder"
1010756;"Champions"
1010757;"Omega Flight"
1010758;"Illuminati"
1010759;"Heroes For Hire"
1010760;"Justice"
1010761;"Sleepwalker"
1010762;"Pip"
1010763;"Gamora"
1010764;"Stardust"
1010765;"Werewolf By Night"
1010766;"Jack O' Lantern"
1010767;"Random"
1010768;"Loners"
1010769;"Rocket Racer"
1010770;"Power Pack"
1010771;"Excalibur"
1010773;"Arachne"
1010774;"Daily Bugle"
1010775;"James Buchanan Barnes"
1010776;"Danny Rand"
1010777;"James Howlett"
1010778;"Quasar (Wendell Vaughn)"
1010779;"Pete Wisdom"
1010780;"Zemo"
1010781;"Roland Deschain"
1010782;"Ben Urich"
1010783;"Kat Farrell"
1010784;"Ares"
1010785;"Echo"
1010786;"Jack Murdock"
1010787;"Eddie Brock"
1010788;"Venom (Mac Gargan)"
1010790;"Scorpion (Carmilla Black)"
1010791;"Sub-Mariner"
1010794;"Spider-Woman (Mattie Franklin)"
1010795;"Spider-Woman (Charlotte Witter)"
1010796;"Madame Web (Julia Carpenter)"
1010797;"Nitro"
1010799;"Frightful Four"
1010801;"Ant-Man (Scott Lang)"
1010802;"Ant-Man (Eric O'Grady)"
1010803;"Ultimates"
1010805;"Machine Man"
1010806;"X-Statix"
1010807;"Eternals"
1010808;"Hawkeye (Kate Bishop)"
1010809;"Clint Barton"
1010810;"Kate Bishop"
1010811;"Man-Wolf"
1010812;"John Jameson"
1010813;"Celestials"
1010814;"Squadron Supreme (Earth-712)"
1010816;"Hate-Monger (Adolf Hitler)"
1010817;"Rage"
1010818;"Komodo (Melati Kusuma)"
1010819;"Texas Twister"
1010820;"Thor Girl"
1010821;"Hardball"
1010822;"Trauma"
1010823;"Cloud 9"
1010824;"Shooting Star"
1010825;"Triathlon"
1010826;"MVP"
1010827;"Armory"
1010828;"Stature"
1010829;"Bengal"
1010830;"Blazing Skull"
1010832;"Gargoyle"
1010833;"Speed"
1010836;"Alex Power"
1010837;"Red Wolf"
1010840;"Mr. Immortal"
1010841;"Zaran"
1010842;"King Cobra"
1010843;"Big Bertha"
1010847;"Ultragirl (Earth-93060)"
1010848;"Silhouette"
1010851;"Mach IV"
1010852;"Two-Gun Kid"
1010853;"White Tiger (Angela Del Toro)"
1010854;"Living Lightning"
1010855;"Solo (James Bourne)"
1010858;"Shockwave"
1010859;"Black Crow"
1010860;"Squirrel Girl"
1010861;"Scarecrow (Ebenezer Laughton)"
1010862;"Unicorn"
1010863;"Flatman"
1010864;"Silverclaw"
1010867;"Magdalene"
1010868;"Firebird"
1010869;"Masked Marvel (Unrevealed)"
1010871;"Micromax"
1010873;"Paladin"
1010874;"Slyde"
1010876;"Mongoose"
1010878;"Janus, the Nega-Man"
1010879;"Doorman"
1010880;"Fixer (Paul Norbert Ebersol)"
1010881;"Blacklash"
1010882;"Old Lace"
1010883;"Wrecking Crew"
1010884;"Wrecker"
1010885;"Thunderball"
1010886;"Piledriver"
1010887;"Bulldozer"
1010888;"Iron Fist (Orson Randall)"
1010889;"Steel Serpent (Davos)"
1010890;"Deathlok"
1010892;"Rawhide Kid"
1010893;"Kid Colt"
1010894;"Millie the Model"
1010895;"Sharon Ventura"
1010896;"Lyja"
1010898;"Sin"
1010899;"Spitfire"
1010901;"Stephen Strange"
1010902;"Mordo"
1010903;"Abyss (Age of Apocalypse)"
1010904;"Magus (Adam Warlock)"
1010906;"Baron Zemo (Helmut Zemo)"
1010907;"Dark Beast"
1010908;"Beast (Ultimate)"
1010910;"Black Cat (Ultimate)"
1010911;"Black Widow (Ultimate)"
1010912;"Callisto (Age of Apocalypse)"
1010913;"Captain America (Ultimate)"
1010914;"Captain America (House of M)"
1010915;"Captain Britain (Ultimate)"
1010916;"Carnage (Ultimate)"
1010917;"Colossus (Ultimate)"
1010918;"Cyclops (Ultimate)"
1010919;"Daredevil (Ultimate)"
1010921;"Doctor Octopus (Ultimate)"
1010922;"Electro (Ultimate)"
1010923;"Elektra (Ultimate)"
1010924;"Miek"
1010925;"Ghost Rider (Daniel Ketch)"
1010926;"Giant-Man (Ultimate)"
1010927;"Goliath (Bill Foster)"
1010928;"Green Goblin (Harry Osborn)"
1010929;"Green Goblin (Ultimate)"
1010930;"Hobgoblin (Jason Macendale)"
1010932;"Human Torch (Jim Hammond)"
1010933;"Iceman (Ultimate)"
1010934;"Invisible Woman (Ultimate)"
1010935;"Iron Man (Ultimate)"
1010936;"Jubilee (Age of Apocalypse)"
1010937;"Josiah X"
1010939;"Lizard (Ultimate)"
1010942;"Magik (Amanda Sefton)"
1010943;"Magneto (Ultimate)"
1010944;"Magneto (Age of Apocalypse)"
1010945;"Magneto (House of M)"
1010946;"Jean Grey (Ultimate)"
1010947;"Maverick (Chris Bradley)"
1010949;"Moon Knight (House of M)"
1010950;"Mr. Fantastic (Ultimate)"
1010952;"Mysterio (Francis Klum)"
1010953;"Mystique (Age of Apocalypse)"
1010954;"Mystique (House of M)"
1010955;"Nomad (Steve Rogers)"
1010956;"Nova (Frankie Raye)"
1010957;"Orphan-Maker"
1010958;"Professor X (Ultimate)"
1010959;"Proteus (Ultimate)"
1010962;"Puck (Zuzha Yu)"
1010963;"Quicksilver (Ultimate)"
1010964;"Quicksilver (Age of Apocalypse)"
1010966;"Rogue (Ultimate)"
1010967;"Rogue (Age of Apocalypse)"
1010968;"Sabretooth (Ultimate)"
1010969;"Sabretooth (Age of Apocalypse)"
1010970;"Sabretooth (House of M)"
1010971;"Scarlet Witch (Ultimate)"
1010973;"Shadow King (Age of Apocalypse)"
1010974;"Shadowcat (Ultimate)"
1010975;"Shadowcat (Age of Apocalypse)"
1010976;"Silver Samurai (Age of Apocalypse)"
1010977;"Lieutenant Marcus Stone"
1010978;"Storm (Ultimate)"
1010979;"Storm (Age of Apocalypse)"
1010980;"Franklin Storm"
1010981;"Sunfire (Age of Apocalypse)"
1010982;"Swordsman (Jaques Duquesne)"
1010983;"Thing (Ultimate)"
1010984;"Union Jack (Montgomery Falsworth)"
1010985;"Union Jack (Brian Falsworth)"
1010987;"Unus (Age of Apocalypse)"
1010991;"War Machine (Parnell Jacobs)"
1010992;"Wasp (Ultimate)"
1010993;"Mary Jane Watson (House of M)"
1010994;"Wild Child (Age of Apocalypse)"
1010995;"Wolfsbane (Age of Apocalypse)"
1010996;"Yellowjacket (Rita DeMara)"
1010998;"The Initiative"
1011001;"Daken"
1011002;"Marvel Zombies"
1011003;"Thaddeus Ross"
1011004;"M.O.D.A.M."
1011005;"Hulk (Ultimate)"
1011006;"Wolverine (Ultimate)"
1011007;"Nick Fury (Ultimate)"
1011008;"Morlocks"
1011009;"Wind Dancer"
1011010;"Spider-Man (Ultimate)"
1011011;"Vulcan (Gabriel Summers)"
1011013;"Fantastic Four (Ultimate)"
1011016;"Darwin"
1011018;"The Order"
1011019;"Molecule Man"
1011020;"Darkhawk"
1011021;"Phalanx"
1011022;"Super-Adaptoid"
1011023;"Defenders"
1011024;"Invaders"
1011025;"Thor (Ultimate)"
1011026;"Mantis"
1011027;"Captain Universe"
1011028;"Owl"
1011029;"Kulan Gath"
1011030;"Prodigy"
1011031;"Agent X (Nijo)"
1011032;"Speed Demon"
1011033;"Joystick"
1011034;"Terror"
1011035;"Satana"
1011036;"Living Mummy"
1011037;"Deathcry"
1011038;"Bug"
1011039;"Centennial"
1011040;"Dinah Soar"
1011041;"Great Lakes Avengers"
1011042;"Tag"
1011043;"Wither"
1011044;"Hellions (Squad)"
1011045;"Photon"
1011046;"Hedge Knight"
1011047;"Turbo"
1011048;"Scalphunter"
1011051;"Strong Guy"
1011052;"Cardiac"
1011053;"Maelstrom"
1011054;"Spider-Man (1602)"
1011055;"Gideon"
1011056;"Multiple Man"
1011057;"Slapstick"
1011059;"Living Tribunal"
1011060;"Ego"
1011061;"Eternity"
1011062;"Stranger"
1011063;"In-Betweener"
1011064;"Inertia"
1011066;"Victor Mancha"
1011067;"Wild Pack"
1011068;"M (Monet St. Croix)"
1011070;"Slayback"
1011071;"Demogoblin"
1011072;"Edwin Jarvis"
1011073;"Bloodaxe"
1011074;"Lilith"
1011075;"Swarm"
1011076;"Grandmaster"
1011077;"Ikaris"
1011078;"Starjammers"
1011080;"Korg"
1011081;"Ka-Zar"
1011082;"Elixir"
1011084;"Starfox"
1011085;"Major Mapleleaf"
1011086;"Nemesis"
1011087;"Dead Girl"
1011088;"Morlun"
1011090;"Brother Voodoo"
1011091;"Hannibal King"
1011092;"Leech"
1011093;"Shi'Ar"
1011094;"Xavin"
1011095;"Captain Marvel (Monica Rambeau)"
1011096;"Captain Marvel (Genis-Vell)"
1011097;"Captain Marvel (Phyla-Vell)"
1011098;"Genis-Vell"
1011099;"Mentallo"
1011100;"Layla Miller"
1011101;"Butterfly"
1011102;"Human Torch (Ultimate)"
1011103;"Doctor Doom (Ultimate)"
1011104;"Pride"
1011105;"Jimmy Woo"
1011106;"Venus (Siren)"
1011107;"Deviants"
1011109;"X-Men (Ultimate)"
1011111;"Fantastick Four"
1011112;"The Twelve"
1011113;"Blue Blade"
1011114;"Spider-Man (Marvel Zombies)"
1011116;"Killraven"
1011117;"Roughhouse"
1011118;"Hulk (Marvel Zombies)"
1011119;"Bob, Agent of Hydra"
1011121;"Warbound"
1011122;"Elloe Kaifi"
1011123;"Omega the Unknown"
1011124;"Nightshade"
1011125;"Ultra-Adaptoid"
1011126;"Sally Floyd"
1011128;"Venom (Ultimate)"
1011129;"Mystique (Ultimate)"
1011130;"Black Panther (Ultimate)"
1011131;"Hawkeye (Ultimate)"
1011132;"Blob (Ultimate)"
1011133;"Weapon Omega"
1011134;"Microchip"
1011136;"Air-Walker (Gabriel Lan)"
1011137;"Baroness S'Bak"
1011138;"Beyonder"
1011139;"Cammi"
1011141;"Cerise"
1011142;"Devos"
1011144;"Glorian"
1011145;"Lord Hawal"
1011147;"Korath"
1011148;"Kree"
1011149;"Tana Nile"
1011150;"Paibok"
1011151;"Praxagora"
1011152;"Preak"
1011154;"Ravenous"
1011155;"Red Shift"
1011157;"Skreet"
1011159;"Stellaris"
1011160;"Supreme Intelligence"
1011161;"Talos"
1011162;"Tenebrous"
1011167;"Ser Duncan"
1011177;"Forgotten One"
1011179;"Pixie"
1011181;"Thena"
1011183;"Zuras"
1011184;"Mentor"
1011187;"Christian Walker"
1011188;"Deena Pilgrim"
1011189;"Retro Girl"
1011193;"Kabuki"
1011196;"Captain Flint"
1011197;"Scarlet Spider (Ben Reilly)"
1011198;"Agents of Atlas"
1011199;"Ezekiel"
1011202;"Ord"
1011203;"Mary Jane Watson (Ultimate)"
1011205;"Madripoor"
1011206;"Doctor Faustus"
1011207;"Purifiers"
1011208;"Anthem"
1011209;"Calamity"
1011210;"Mulholland Black"
1011211;"The Renegades"
1011212;"Sugar Man"
1011213;"Feral"
1011218;"Harry Osborn (Ultimate)"
1011219;"The Fury"
1011220;"Mockingbird"
1011221;"Giant Girl"
1011222;"Firestar (Ultimate)"
1011223;"Skaar"
1011226;"War Machine (Ultimate)"
1011227;"Amadeus Cho"
1011228;"Outlaw Kid"
1011230;"Scrambler"
1011231;"Veda"
1011232;"Supernaut"
1011233;"Fat Cobra"
1011234;"Prince of Orphans"
1011235;"Dog Brother #1"
1011236;"Bride of Nine Spiders (Immortal Weapons)"
1011237;"Tiger's Beautiful Daughter"
1011239;"Valkyrie (Ultimate)"
1011240;"Freak"
1011241;"Menace"
1011242;"Screwball"
1011243;"Mandrill"
1011244;"Mr. Negative"
1011246;"Hypno-Hustler"
1011247;"Dragon Lord"
1011250;"Katie Power"
1011251;"Jack Power"
1011256;"Gladiator (Melvin Potter)"
1011257;"Lily Hollister"
1011258;"Carlie Cooper"
1011259;"Jackpot"
1011260;"Dexter Bennett"
1011261;"Vin Gonzales"
